code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz002688,2012-07-13,25.6,30.72,24.99,30.72,0.706667,25763927.0,691920489.39,836505600.0,3346022400.0,0.94616,30.72,2012-08-14,2012-06-30,41.19430894799268,4.638324066361549,36.078338991003854,9.04611057405479,5.1282703524169335
sz002688,2012-07-16,28.65,30.66,27.65,27.65,-0.099935,16718064.0,479831786.56,752909500.0,3011638000.0,0.613958,27.649996799999997,2012-08-14,2012-06-30,37.07755997434888,4.174793633948465,32.4728539420982,8.14208845613981,4.615776654748148
sz002688,2012-07-17,26.03,28.49,25.01,27.72,0.002532,12334311.0,324734446.32,754815600.0,3019262400.0,0.452968,27.720006591897597,2012-08-14,2012-06-30,37.17142721479027,4.185362731755929,32.555063698913635,8.16270133830725,4.62746380123797
sz002688,2012-07-18,26.8,27.48,25.73,26.52,-0.0432899999999999,8783364.0,234806746.16,722139600.0,2888558400.0,0.322562,26.520007506534352,2012-08-14,2012-06-30,35.56227452150931,4.0041781979136815,31.14575358207755,7.809337644008236,4.427140893282378
sz002688,2012-07-19,26.3,29.17,26.3,29.17,0.099925,14588456.0,415773239.9,794299100.0,3177196400.0,0.535749,29.170019256624798,2012-08-14,2012-06-30,39.11582005250477,4.40429404348198,34.25798009009058,8.589682468918562,4.86952294704362
sz002688,2012-07-20,28.74,32.09,28.38,32.09,0.100103,15816106.0,479876984.21,873810700.0,3495242800.0,0.580834,32.09002569427071,2012-08-14,2012-06-30,43.03142493948845,4.845176409164782,37.68730137439172,9.449534125046165,5.356976802611528
sz002688,2012-07-23,31.45,33.8,30.68,30.92,-0.03646,13737656.0,442707014.64,841951600.0,3367806400.0,0.504504,30.9200233574576,2012-08-14,2012-06-30,41.46250106353951,4.668521488668591,36.31322401047654,9.105004523104625,5.161661428388311
sz002688,2012-07-24,30.53,34.01,30.31,34.01,0.099935,11588083.0,370307378.67,926092300.0,3704369200.0,0.425563,34.01001589168512,2012-08-14,2012-06-30,45.606069248737995,5.135071663312379,39.942197561329465,10.014916035924589,5.677492063234297
sz002688,2012-07-25,33.79,35.89,33.18,33.23,-0.022934,12312662.0,422628310.7,904852900.0,3619411600.0,0.4521729999999999,33.23003018722522,2012-08-14,2012-06-30,44.56011999810537,5.017301716314918,39.02614598538601,9.78522963463023,5.547284460256081
sz002688,2012-07-26,32.83,34.87,32.63,33.98,0.02257,8177785.0,276365449.28,925275400.0,3701101600.0,0.300323,33.98003196855089,2012-08-14,2012-06-30,45.565840431405974,5.130542049966324,39.90696480840857,10.006081943567114,5.67248667052406
sz002688,2012-07-27,33.41,34.48,30.81,31.7,-0.067098,9714119.0,314244912.36,863191000.0,3452764000.0,0.356743,31.70003978352506,2012-08-14,2012-06-30,42.50845031417214,4.786291435666052,37.229275586419995,9.334690924398986,5.2918741599052375
sz002688,2012-07-30,31.39,32.68,30.8,31.38,-0.010095,6633767.0,211321942.55,854477400.0,3417909600.0,0.2436199999999999,31.38002788191038,2012-08-14,2012-06-30,42.07934292929721,4.737975559974786,36.853459555263704,9.240460605919248,5.238452690260995
sz002688,2012-07-31,31.18,31.37,28.93,29.02,-0.075207,7495307.0,222105600.59,790214600.0,3160858400.0,0.275259,29.020030124995543,2012-08-14,2012-06-30,38.91467596584465,4.381645976751698,34.081816325486066,8.545512007131185,4.844484378784536
sz002688,2012-08-01,29.18,30.36,28.87,29.6,0.019986,6844740.0,202420473.31,806008000.0,3224032000.0,0.251368,29.600024447073707,2012-08-14,2012-06-30,39.69243310093045,4.469218501442119,34.762982881956844,8.71630445937571,4.941306243578924
sz002688,2012-08-02,29.2,32.5,28.5,31.18,0.0533779999999999,9386785.0,285936311.68,849031400.0,3396125600.0,0.344722,31.180014552009606,2012-08-14,2012-06-30,41.81115081375039,4.707778137667745,36.618574535791026,9.181566656869412,5.205063288248679
sz002688,2012-08-03,30.78,31.59,30.31,31.41,0.007377,7028751.0,218078684.74,855294300.0,3421177200.0,0.258125,31.410029519359778,2012-08-14,2012-06-30,42.11957174662924,4.7425051733208425,36.88869230818461,9.249294698276724,5.243461040126089
sz002688,2012-08-06,30.9,33.44,30.6,32.64,0.03916,8112346.0,262779029.96,888787200.0,3555148800.0,0.297919,32.64004627533791,2012-08-14,2012-06-30,43.76895325724223,4.928219320509147,38.3332351779416,9.611492484933214,5.448794974457427
sz002688,2012-08-07,32.21,33.1,31.91,32.0,-0.019608,6746814.0,218279935.92,871360000.0,3485440000.0,0.247771,32.000040247971086,2012-08-14,2012-06-30,42.91073848749238,4.831587569126614,37.581603115629015,9.42303184797374,5.341955002598266
