交易所标识_Exchflg,市场标识_Mktflg,日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv,市场溢酬因子__总市值加权_Rmrf_mc,市值因子__总市值加权_Smb_mc,账面市值比因子__总市值加权_Hml_mc,
"2","A",2013-04-01,"0.0061","0.0001","0.0058","0.0064","0.0021","0.0049"
"2","A",2013-04-02,"-0.0118","-0.0072","0.0080","-0.0136","-0.0017","0.0153"
"2","A",2013-04-03,"-0.0079","-0.0032","0.0011","-0.0090","-0.0023","0.0025"
"2","A",2013-04-08,"0.0052","0.0014","-0.0032","0.0058","0.0006","-0.0082"
"2","A",2013-04-09,"0.0086","0.0020","0.0045","0.0085","0.0023","0.0048"
"2","A",2013-04-10,"-0.0041","-0.0050","0.0024","-0.0050","-0.0032","0.0012"
"2","A",2013-04-11,"-0.0036","-0.0008","0.0033","-0.0033","-0.0001","0.0037"
"2","A",2013-04-12,"-0.0077","-0.0015","0.0003","-0.0074","-0.0037","-0.0031"
"2","A",2013-04-15,"-0.0135","-0.0025","0.0000","-0.0138","-0.0012","-0.0021"
"2","A",2013-04-16,"0.0106","-0.0018","0.0050","0.0107","-0.0023","0.0044"
"2","A",2013-04-17,"0.0105","0.0035","-0.0050","0.0111","0.0008","-0.0116"
"2","A",2013-04-18,"0.0030","0.0030","0.0002","0.0035","0.0030","0.0010"
"2","A",2013-04-19,"0.0219","-0.0007","0.0020","0.0224","-0.0021","-0.0003"
"2","A",2013-04-22,"0.0046","0.0056","0.0033","0.0061","0.0028","-0.0060"
"2","A",2013-04-23,"-0.0283","0.0012","-0.0048","-0.0280","-0.0004","-0.0058"
"2","A",2013-04-24,"0.0218","0.0044","0.0008","0.0226","0.0012","-0.0030"
"2","A",2013-04-25,"-0.0171","-0.0018","0.0026","-0.0175","-0.0015","0.0012"
"2","A",2013-04-26,"-0.0150","-0.0066","0.0006","-0.0165","-0.0052","0.0031"
"2","A",2013-05-02,"0.0065","0.0022","-0.0011","0.0066","0.0001","-0.0027"
"2","A",2013-05-03,"0.0192","0.0060","0.0025","0.0200","0.0024","-0.0042"
"2","A",2013-05-06,"0.0184","0.0031","-0.0057","0.0188","0.0019","-0.0088"
"2","A",2013-05-07,"0.0018","-0.0025","0.0030","0.0013","0.0001","0.0015"
"2","A",2013-05-08,"0.0096","0.0022","-0.0012","0.0107","0.0003","-0.0027"
"2","A",2013-05-09,"0.0016","0.0068","-0.0028","0.0024","0.0067","-0.0075"
"2","A",2013-05-10,"0.0037","0.0020","-0.0007","0.0038","0.0026","0.0046"
"2","A",2013-05-13,"0.0023","0.0066","0.0028","0.0029","0.0054","0.0004"
"2","A",2013-05-14,"-0.0145","0.0036","0.0003","-0.0141","0.0054","0.0003"
"2","A",2013-05-15,"0.0141","0.0041","-0.0036","0.0157","0.0024","-0.0114"
"2","A",2013-05-16,"0.0120","-0.0074","0.0023","0.0109","-0.0066","0.0052"
"2","A",2013-05-17,"0.0167","-0.0036","0.0022","0.0168","-0.0047","-0.0006"
"2","A",2013-05-20,"0.0128","0.0100","-0.0030","0.0146","0.0079","-0.0017"
"2","A",2013-05-21,"0.0136","0.0045","-0.0038","0.0139","0.0030","-0.0082"
"2","A",2013-05-22,"-0.0081","-0.0075","0.0032","-0.0094","-0.0058","0.0088"
"2","A",2013-05-23,"-0.0067","0.0043","-0.0008","-0.0069","0.0029","-0.0056"
"2","A",2013-05-24,"0.0142","0.0070","-0.0068","0.0149","0.0039","-0.0050"
"2","A",2013-05-27,"0.0067","0.0087","-0.0015","0.0079","0.0055","-0.0041"
"2","A",2013-05-28,"0.0011","-0.0163","0.0037","-0.0010","-0.0129","0.0147"
"2","A",2013-05-29,"0.0055","0.0022","-0.0001","0.0060","0.0028","-0.0029"
"2","A",2013-05-30,"0.0005","0.0053","-0.0035","0.0008","0.0045","-0.0056"
"2","A",2013-05-31,"-0.0082","0.0063","-0.0011","-0.0077","0.0064","-0.0036"
"2","A",2013-06-03,"-0.0075","-0.0039","0.0060","-0.0084","-0.0005","0.0115"
